,trigrams,trigrams_freq
0,hill street suite,1975.0
1,street suite washington,1975.0
2,suite washington tel,1975.0
3,washington tel fax,1975.0
4,tel fax content,1975.0
5,fax content site,1975.0
6,content site capitol,1975.0
7,site capitol hill,1975.0
8,capitol hill publish,1975.0
9,hill publish corp,1975.0
10,publish corp subsidiary,1975.0
11,corp subsidiary news,1975.0
12,subsidiary news communication,1975.0
13,view discussion thread,1902.0
14,discussion thread hill,1804.0
15,thread hill street,1804.0
16,president donald trump,997.0
17,hill morning report,555.0
18,president trumpdonald john,536.0
19,morning report trump,322.0
20,trumpdonald john trumptrump,312.0
21,source text eikon,298.0
22,text eikon company,288.0
23,eikon company coverage,288.0
24,lawmaker apologize photo,288.0
25,apologize photo depict,288.0
26,photo depict mock,288.0
27,depict mock assassination,288.0
28,mock assassination trump,288.0
29,assemble team cabinet,288.0
30,team cabinet speak,288.0
31,cabinet speak trump,288.0
32,push poll data,287.0
33,poll data internal,287.0
34,data internal strongest,287.0
35,scaramucci assemble team,287.0
36,john trumptrump push,285.0
37,trumptrump push poll,285.0
38,internal strongest illinois,285.0
39,strongest illinois lawmaker,285.0
40,illinois lawmaker apologize,285.0
41,assassination trump scaramucci,285.0
42,trump scaramucci assemble,285.0
43,reid decriminalizing border,282.0
44,decriminalizing border crossing,282.0
45,border crossing top,282.0
46,crossing top list,282.0
47,vice president joe,263.0
48,respond request comment,235.0
49,president barack obama,218.0
50,donald trumpdonald john,204.0
51,happen president overlook,197.0
52,president overlook key,197.0
53,clintonhillary diane rodham,196.0
54,trumpdonald john trumpfacebook,196.0
55,john trumpfacebook release,196.0
56,trumpfacebook release audit,196.0
57,release audit conservative,196.0
58,audit conservative bias,196.0
59,conservative bias claim,196.0
60,bias claim harry,196.0
61,claim harry reid,196.0
62,harry reid decriminalizing,196.0
63,top list recession,196.0
64,list recession happen,196.0
65,recession happen president,196.0
66,wall street journal,194.0
67,hillary clintonhillary diane,190.0
68,trump golden opportunity,168.0
69,golden opportunity gun,168.0
70,opportunity gun reform,168.0
71,national security adviser,166.0
72,manchin trump golden,166.0
73,special counsel robert,165.0
74,senate majority leader,165.0
75,majority leader mitch,156.0
76,news communication president,152.0
77,trump drive global,150.0
78,drive global economy,150.0
79,global economy recession,150.0
80,economy recession manchin,148.0
81,recession manchin trump,148.0
82,potential nh senate,147.0
83,nh senate win,147.0
84,white house press,146.0
85,president joe biden,142.0
86,white house official,140.0
87,pilot astronaut matchup,140.0
88,astronaut matchup arizona,140.0
89,matchup arizona determine,140.0
90,arizona determine control,140.0
91,determine control senate,140.0
92,gop challenger trump,137.0
93,challenger trump deserve,137.0
94,trump deserve reelection,137.0
95,deserve reelection vote,137.0
96,reelection vote democrat,137.0
97,report trump israelsquad,136.0
98,trump israelsquad controversy,136.0
99,trumpdonald john trumppossible,131.0
