,Word,Times,Negative,Neutral,Positive,Compound,Classify,Value
0,trump,21863,0.0,1.0,0.0,0.0,Neutral,0.0
1,people,13354,0.0,1.0,0.0,0.0,Neutral,0.0
2,president,12600,0.0,1.0,0.0,0.0,Neutral,0.0
3,time,12577,0.0,1.0,0.0,0.0,Neutral,0.0
4,report,10599,0.0,1.0,0.0,0.0,Neutral,0.0
5,company,8811,0.0,1.0,0.0,0.0,Neutral,0.0
6,day,8195,0.0,1.0,0.0,0.0,Neutral,0.0
7,house,7901,0.0,1.0,0.0,0.0,Neutral,0.0
8,percent,7768,0.0,1.0,0.0,0.0,Neutral,0.0
9,call,7120,0.0,1.0,0.0,0.0,Neutral,0.0
10,week,6876,0.0,1.0,0.0,0.0,Neutral,0.0
11,news,6296,0.0,1.0,0.0,0.0,Neutral,0.0
12,country,6240,0.0,1.0,0.0,0.0,Neutral,0.0
13,hill,6068,0.0,1.0,0.0,0.0,Neutral,0.0
14,month,6007,0.0,1.0,0.0,0.0,Neutral,0.0
15,market,5595,0.0,1.0,0.0,0.0,Neutral,0.0
16,american,5451,0.0,1.0,0.0,0.0,Neutral,0.0
17,government,5364,0.0,1.0,0.0,0.0,Neutral,0.0
18,woman,5268,0.0,1.0,0.0,0.0,Neutral,0.0
19,plan,5080,0.0,1.0,0.0,0.0,Neutral,0.0
20,washington,5079,0.0,1.0,0.0,0.0,Neutral,0.0
21,share,4880,0.0,0.0,1.0,0.296,Positive,1.0
22,white,4855,0.0,1.0,0.0,0.0,Neutral,0.0
23,republican,4834,0.0,1.0,0.0,0.0,Neutral,0.0
24,campaign,4748,0.0,1.0,0.0,0.0,Neutral,0.0
25,official,4676,0.0,1.0,0.0,0.0,Neutral,0.0
26,democrat,4540,0.0,1.0,0.0,0.0,Neutral,0.0
27,family,4528,0.0,1.0,0.0,0.0,Neutral,0.0
28,write,4486,0.0,1.0,0.0,0.0,Neutral,0.0
29,york,4442,0.0,1.0,0.0,0.0,Neutral,0.0
30,support,4421,0.0,0.0,1.0,0.4019,Positive,1.0
31,lead,4245,0.0,1.0,0.0,0.0,Neutral,0.0
32,united,4205,0.0,0.0,1.0,0.4215,Positive,1.0
33,issue,4172,0.0,1.0,0.0,0.0,Neutral,0.0
34,party,4124,0.0,0.0,1.0,0.4019,Positive,1.0
35,business,4115,0.0,1.0,0.0,0.0,Neutral,0.0
36,national,4085,0.0,1.0,0.0,0.0,Neutral,0.0
37,vote,4072,0.0,1.0,0.0,0.0,Neutral,0.0
38,senate,4039,0.0,1.0,0.0,0.0,Neutral,0.0
39,law,4037,0.0,1.0,0.0,0.0,Neutral,0.0
40,move,4037,0.0,1.0,0.0,0.0,Neutral,0.0
41,start,4020,0.0,1.0,0.0,0.0,Neutral,0.0
42,life,4007,0.0,1.0,0.0,0.0,Neutral,0.0
43,view,3988,0.0,1.0,0.0,0.0,Neutral,0.0
44,public,3960,0.0,1.0,0.0,0.0,Neutral,0.0
45,deal,3932,0.0,1.0,0.0,0.0,Neutral,0.0
46,city,3910,0.0,1.0,0.0,0.0,Neutral,0.0
47,statement,3907,0.0,1.0,0.0,0.0,Neutral,0.0
48,billion,3893,0.0,1.0,0.0,0.0,Neutral,0.0
49,tuesday,3874,0.0,1.0,0.0,0.0,Neutral,0.0
50,street,3869,0.0,1.0,0.0,0.0,Neutral,0.0
51,china,3860,0.0,1.0,0.0,0.0,Neutral,0.0
52,trade,3817,0.0,1.0,0.0,0.0,Neutral,0.0
53,leave,3804,1.0,0.0,0.0,-0.0516,Negative,-1.0
54,continue,3795,0.0,1.0,0.0,0.0,Neutral,0.0
55,election,3774,0.0,1.0,0.0,0.0,Neutral,0.0
56,policy,3729,0.0,1.0,0.0,0.0,Neutral,0.0
57,child,3711,0.0,1.0,0.0,0.0,Neutral,0.0
58,democratic,3640,0.0,1.0,0.0,0.0,Neutral,0.0
59,court,3634,0.0,1.0,0.0,0.0,Neutral,0.0
60,monday,3602,0.0,1.0,0.0,0.0,Neutral,0.0
61,change,3576,0.0,1.0,0.0,0.0,Neutral,0.0
62,bill,3556,0.0,1.0,0.0,0.0,Neutral,0.0
63,political,3553,0.0,1.0,0.0,0.0,Neutral,0.0
64,price,3474,0.0,1.0,0.0,0.0,Neutral,0.0
65,administration,3464,0.0,1.0,0.0,0.0,Neutral,0.0
66,health,3463,0.0,1.0,0.0,0.0,Neutral,0.0
67,thursday,3453,0.0,1.0,0.0,0.0,Neutral,0.0
68,hold,3435,0.0,1.0,0.0,0.0,Neutral,0.0
69,bank,3408,0.0,1.0,0.0,0.0,Neutral,0.0
70,talk,3380,0.0,1.0,0.0,0.0,Neutral,0.0
71,security,3357,0.0,0.0,1.0,0.34,Positive,1.0
72,wednesday,3335,0.0,1.0,0.0,0.0,Neutral,0.0
73,tax,3331,0.0,1.0,0.0,0.0,Neutral,0.0
74,expect,3312,0.0,1.0,0.0,0.0,Neutral,0.0
75,service,3259,0.0,1.0,0.0,0.0,Neutral,0.0
76,office,3225,0.0,1.0,0.0,0.0,Neutral,0.0
77,federal,3204,0.0,1.0,0.0,0.0,Neutral,0.0
78,school,3189,0.0,1.0,0.0,0.0,Neutral,0.0
79,question,3179,0.0,1.0,0.0,0.0,Neutral,0.0
80,police,3171,0.0,1.0,0.0,0.0,Neutral,0.0
81,release,3163,0.0,1.0,0.0,0.0,Neutral,0.0
82,friday,3132,0.0,1.0,0.0,0.0,Neutral,0.0
83,top,3102,0.0,0.0,1.0,0.2023,Positive,1.0
84,leader,3101,0.0,1.0,0.0,0.0,Neutral,0.0
85,team,3056,0.0,1.0,0.0,0.0,Neutral,0.0
86,rate,3045,0.0,1.0,0.0,0.0,Neutral,0.0
87,job,3042,0.0,1.0,0.0,0.0,Neutral,0.0
88,set,3035,0.0,1.0,0.0,0.0,Neutral,0.0
89,love,3013,0.0,0.0,1.0,0.6369,Positive,1.0
90,rise,2986,0.0,1.0,0.0,0.0,Neutral,0.0
91,force,2958,0.0,1.0,0.0,0.0,Neutral,0.0
92,site,2953,0.0,1.0,0.0,0.0,Neutral,0.0
93,department,2951,0.0,1.0,0.0,0.0,Neutral,0.0
94,publish,2951,0.0,1.0,0.0,0.0,Neutral,0.0
95,ms,2951,0.0,1.0,0.0,0.0,Neutral,0.0
96,live,2927,0.0,1.0,0.0,0.0,Neutral,0.0
97,comment,2864,0.0,1.0,0.0,0.0,Neutral,0.0
98,pay,2863,1.0,0.0,0.0,-0.1027,Negative,-1.0
99,close,2857,0.0,1.0,0.0,0.0,Neutral,0.0
100,meet,2852,0.0,1.0,0.0,0.0,Neutral,0.0
101,play,2842,0.0,0.0,1.0,0.34,Positive,1.0
102,post,2838,0.0,1.0,0.0,0.0,Neutral,0.0
103,data,2790,0.0,1.0,0.0,0.0,Neutral,0.0
104,increase,2786,0.0,0.0,1.0,0.3182,Positive,1.0
105,medium,2758,0.0,1.0,0.0,0.0,Neutral,0.0
106,low,2751,1.0,0.0,0.0,-0.2732,Negative,-1.0
107,stock,2746,0.0,1.0,0.0,0.0,Neutral,0.0
108,story,2742,0.0,1.0,0.0,0.0,Neutral,0.0
109,lot,2734,0.0,1.0,0.0,0.0,Neutral,0.0
110,attack,2689,1.0,0.0,0.0,-0.4767,Negative,-1.0
111,john,2644,0.0,1.0,0.0,0.0,Neutral,0.0
112,communication,2627,0.0,1.0,0.0,0.0,Neutral,0.0
113,money,2606,0.0,1.0,0.0,0.0,Neutral,0.0
114,decision,2605,0.0,1.0,0.0,0.0,Neutral,0.0
115,power,2602,0.0,1.0,0.0,0.0,Neutral,0.0
116,win,2602,0.0,0.0,1.0,0.5859,Positive,1.0
117,north,2599,0.0,1.0,0.0,0.0,Neutral,0.0
118,committee,2598,0.0,1.0,0.0,0.0,Neutral,0.0
119,night,2598,0.0,1.0,0.0,0.0,Neutral,0.0
